id,isi_berita,label,url
1,"Misi Indonesia untuk meloloskan tim 3x3 ke Olimpiade mulai digencarkan. PP Perbasi menggandeng Nicolas Widmer, salah satu agensi 3x3 yang dipercaya FIBA.
Kerja sama itu diawali dengan menggelar workshop selama dua hari (4-5/8), di Kantor Perbasi, GBK Arena Senayan. Dengan tujuan, memetakan jalan Indonesia menuju Olimpiade, baik lewat babak kualifikasi maupun akumulasi poin ranking dunia.
""Menempatkan Nico sebagai penasehat adalah langkah kami dalam melakukan perencanaan strategis pengembangan bola basket 3x3 di Indonesia,"" ujar Ketua Badan 3x3 Perbasi Santiyani Lestari dalam keterangannya, pada Jumat (7/8/2026).
Dalam workshop tersebut, Perbasi membedah kondisi 3x3 Indonesia saat ini, membandingkannya dengan perkembangan global, lalu merumuskan langkah konkret.
""Memetakan bagaimana kondisi bola basket 3x3 kita kemudian melihat perkembangan bola basket 3x3 secara global, lalu mendiskusikan langkah-langkah strategis yang akan kita ambil dalam menumbuhkembangkan bola basket 3x3 di Indonesia,"" jelas perempuan yang karib disapa Naniek ini.
Hasilnya, Indonesia wajib menaikkan level Timnasnya agar bisa bersaing di level tertinggi.
""Bagaimana cara menuju Olimpiade baik itu melalui babak kualifikasi ataupun melalui poin. Semua sudah terang benderang sekaligus bagaimana membangun tim yang kuat agar bisa bersaing di level tertinggi bola basket 3x3 dunia,"" Santiyani menjelaskan.
Sementara itu, Nico memuji langkah Perbasi yang sudah berada di jalur tepat. Tantangan selanjutnya adalah bagaimana Indonesia bisa sukses di panggung internasional.
""Kini bagaimana mencari cara untuk sukses di level internasional. Kami bersama-sama menyusun strategi bagaimana mengembangkan bola basket 3x3 tiga tahun ke depan,"" kata Nico.
Menurutnya, kuncinya ada pada kedalaman skuad.""Yang titik tekannya adalah bagaimana memperbanyak pool pemain untuk mendukung misi kompetisinya di level internasional,"" tegas Nico.
(mcy/aff)",sport,https://sport.detik.com/basket/d-8608204/perbasi-gandeng-pakar-fiba-untuk-kembangkan-basket-3x3-indonesia
2,"Inilah daftar pelatih NBA terbaik sepanjang masa yang dinilai dari gelar juara, inovasi taktik, serta pengaruh besar terhadap permainan modern. Siapa saja?
Selama 79 musim kompetisi, NBA selalu melahirkan tim-tim legendaris dengan rekor gelar juara dan kemenangan terbanyak. Kesuksesan tersebut tidak hanya ditentukan oleh kekuatan pemain, namun juga sosok pelatih yang ideal.
Sepanjang sejarah NBA, terdapat nama-nama pelatih yang berhasil memimpin dan membawa kejayaan pada tim. Beberapa di antaranya bahkan mencatatkan prestasi yang gemilang.
Berikut daftar pelatih dengan kemenangan terbanyak sepanjang sejarah NBA dilansir dari situs resmi NBA.
1. Gregg Popovich (1.390 Kemenangan)
Gregg Popovich dinobatkan sebagai pelatih tersukses dengan jumlah kemenangan terbanyak, yaitu total 1.390 kemenangan. Ia mendapat gelar sebagai pelatih terbaik NBA pada tahun 2003, 2012, dan 2014.
Selama memimpin San Antonio Spurs, Popovich berhasil meraih rekor musim reguler terbaik di NBA sebanyak lima kali, yaitu pada musim 1998-99, 2000-01, 2002-03, 2011-12, dan 2013-14.
2. Don Nelson (1.335 Kemenangan)
Di urutan kedua, ada Don Nelson yang berhasil meraih total 1.335 kemenangan. Nelson memimpin 4 tim yang berbeda selama kariernya sebagai pelatih, yaitu Milwaukee Bucks, Golden State Warriors, New York Knicks, dan Minnesota State Mavericks.
Nelson dinobatkan sebagai pelatih NBA terbaik tiga kali, yaitu pada tahun 1983, 1085, dan 1992. Ia dikenal dengan gaya permainannya yang cepat, sikap yang ramah, dan kemahirannya dalam menciptakan posisi ""point forward"".
Tak hanya itu, saat melatih Golden State Warriors, Nelson berhasil membawa tim mengalahkan unggulan teratas Dallas Mavericks di babak pertama Playoff NBA 2007.
3. Lenny Wilkens (1.332 Kemenangan)
Lenny Wilkens menjadi pelatih tersukses berikutnya dengan total 1.332 kemenangan selama melatih 6 tim berbeda, yaitu Oklahoma City Thunder, Portland Trail Blazers, Cleveland Cavaliers, Atlanta Hawks, Toronto Raptors, dan New York Knicks.
Sebagai seorang point guard yang masuk Hall of Fame, Wilkens memimpin Seattle Supersonics meraih gelar juara NBA pada tahun 1979. Pada 1994, ia mendapatkan penghargaan sebagai terbaik NBA bersama Atlanta Hawks.
4. Jerry Sloan (1.221 Kemenangan)
Jerry Sloan merupakan pelatih Chicago Bulls dan Utah Jazz yang meraih total 1.221 kemenangan bagi kedua tim.
Ia dikenal sebagai kompetitor yang tangguh, dengan mempopulerkan strategi pick-and roll, yang mengandalkan dua pemain bintang, John Stockton dan Karl Malone.
Sloan juga menjadi pelatih pertama yang memenangkan 1.000 pertandingan dengan satu organisasi dalam sejarah NBA.
5. Pat Riley (1.210 Kemenangan)
Pelatih terbaik selanjutnya adalah Pat Riley. Ia tercatat memimpin tiga klub berbeda dan membawa 1.210 kemenangan.
Sebagai salah satu tokoh penting dalam sejarah NBA, Riley dikenal saat memimpin Showtime Lakers dan membantu New York Knicks dan Heat menjadi tim kuat di Wilayah Timur.
Riley dinobatkan sebagai pelatih terbaik NBA pada tahun 1990, 1993, dan 1997.
| Baca juga: Sejarah Bola Basket: Dari YMCA ke NBA | 
6. Doc Rivers (1.176 Kemenangan)
Doc Rivers mencapai total 1.176 kemenangan selama memimpin 5 tim berbeda, yaitu Osceola Magic, Boston Celtic, Los Angeles Clippers, Philadelphia 76ers, dan Milwaukee Bucks.
Rivers dinobatkan sebagai pelatih NBA tahun 2000 di musim pertamanya bersama Magic dan memenangkan kejuaraan NBA bersama Celtics pada tahun 2008.
7. George Karl (1.175 Kemenangan)
George Karl memimpin enam tim berbeda dan meraih total 1.175 kemenangan. Ia berkarir bersama Cleveland Cavaliers, Golden State Warriors, Oklahoma City Thunder, Milwaukee Bucks, Denver Nuggets, dan Sacramento Kings.
Ia merupakan salah satu dari sembilan pelatih NBA yang memenangkan 1.000 pertandingan NBA dan menjadi pelatih terbaik NBA pada musim 2012-13.
8. Phil Jackson (1.155 Kemenangan)
Phil Jackson memimpin dua tim berbeda yaitu Chicago Bulls dan Los Angeles Lakers. Ia berhasil membawa 1.155 kemenangan bagi kedua tim.
Jackson dikenal karena penggunaan strategi triangle offense ala Tex Winter serta pendekatan holistik dalam melatih yang dipengaruhi oleh filsafat Timur. Berkat teknik ini, ia mendapat julukan ""Zen Master"".
9. Larry Brown (1.098 Kemenangan)
Larry Brown menyusul di posisi kesembilan sebagai pelatih terbaik, dengan total 1.098 kemenangan dengan sembilan tim berbeda. Semasa kariernya, Brown memimpin Denver Nuggets, Brooklyn Nets, Spurs, Clippers, Indiana Pacers, 76ers, Detroit Pistons, New York Knicks, dan Charlotte Hornets.
Brown juga menjadi satu-satunya orang yang pernah melatih dua tim NBA pada musim yang sama, yaitu Spurs dan Clippers selama musim 1001-92. Ia diabadikan di Basketball Hall of Fame sebagai pelatih pada 27 September 2022.
10. Rick Adelman (1.042 Kemenangan)
Rick Adelman melengkapi daftar pelatih terbaik dengan total 1.042 kemenangan. Ia melatih 5 tim berbeda, termasuk Portland Trail Blazers, Golden State Warriors, Sacramento Kings, Houston Rockets, dan Minnesota Timberwolves.
(aff/cas)",sport,https://sport.detik.com/basket/d-8296454/10-pelatih-dengan-kemenangan-terbanyak-sepanjang-sejarah-nba
3,"Pelita Jaya mendapat dukungan ""tenaga"" baru untuk mengarungi Indonesia Basketball League (IBL) 2026. Ini bertujuan membuat Pelita Jaya makin besar di ibukota.
Pelita Jaya jadi salah satu kandidat juara IBL musim ini setelah musim lalu cuma jadi runner-up, karena kalah dari Dewa United Basketball Team. Demi membayar kekecewaan musim lalu, Pelita Jaya banyak berbenah di pramusim lalu.
Terbukti Pelita Jaya masih sempurna dengan tujuh kemenangan dari tujuh laga. Performa Pelita Jaya sebagai tim kuat IBL membuat mereka menarik minat tidak hanya di dalam, tapi juga luar lapangan.
Salah satunya adalah Bank Jakarta yang baru saja menjalin kerjasama dengan Pelita Jaya untuk mengarungi IBL 2026. Kerjasama itu diumumkan secara resmi di Jakarta, Kamis (12/2).
Pengumuman kolaborasi Bank Jakarta dengan Pelita Jaya dihadiri oleh Staf Khusus Gubernur DKI Jakarta Ketua Bidang Pemuda dan Olahraga Dicky Budi Ramadhan, Commissioner Pelita Jaya Aninditha Anestya Bakrie, President Pelita Jaya Andiko Ardi Purnomo, dan Direktur Kepatuhan Bank Jakarta Ateng Rivai.
Menurut Dicky, kolaborasi ini merupakan bentuk konkret dukungan pemerintah daerah terhadap pengembangan olahraga di Jakarta. Apalagi seperti halnya Persija Jakarta, Pelita Jaya selalu bertanding dengan membawa nama Jakarta.
""Kolaborasi ini adalah wujud nyata bahwa Bank Jakarta harus hadir di setiap elemen pembangunan kota, termasuk olahraga. Gubernur DKI Jakarta memiliki perhatian besar terhadap sektor olahraga karena olahraga mampu menyatukan warga, membangun semangat kebersamaan, serta memperkuat identitas Jakarta sebagai kota yang maju dan kompetitif,"" ujar Dicky dalam keterangan persnya.
Senada dengan Dicky, Ateng Rivai mengatakan dukungan Bank Jakarta kepada Pelita Jaya merupakan kelanjutan dan perluasan komitmen perseroan dalam mendukung olahraga sebagai bagian dari ekosistem kota, setelah sebelumnya menjalin kolaborasi dengan Persija.
""Bank Jakarta ingin terus hadir lebih dekat dengan masyarakat pendukung olahraga massal, yang memiliki semangat, loyalitas, dan kebanggaan tinggi terhadap klub kebanggaannya. Melalui dukungan ini, kami mempertegas peran Bank Jakarta sebagai mitra strategis yang berkontribusi terhadap pengembangan olahraga, pembinaan generasi muda, serta peningkatan literasi dan inklusi keuangan di lingkungan komunitas basket, sekaligus memperluas jangkauan brand engagement kepada komunitas basket dan masyarakat urban yang dinamis,"" jelas Ateng.
Sementara Andiko selaku presiden Pelita Jaya menyambut baik sinergi ini. Dia menyebut Jakarta beruntung memiliki Gubernur yang memberikan perhatian besar terhadap olahraga, sehingga momentum kolaborasi ini menjadi sangat tepat.
""Kami menyampaikan terima kasih atas komitmen dan partisipasi Bank Jakarta bersama Pelita Jaya. Kami optimistis kerja sama ini akan semakin memperkuat prestasi tim dan kontribusi positif bagi masyarakat,"" ungkap Andiko.
Adapun ruang lingkup sinergi dalam bentuk sponsorship, meliputi eksposur merek Bank Jakarta pada berbagai atribut resmi tim dan materi promosi, aktivasi branding pada pertandingan kandang Pelita Jaya sepanjang musim kompetisi, kolaborasi konten digital, serta pelaksanaan program engagement bersama komunitas.
Selain itu, dukungan sponsorship ini juga membuka peluang kolaborasi dalam penguatan ekosistem bisnis klub, termasuk penyediaan layanan perbankan untuk mendukung operasional tim serta pengembangan program pembinaan atlet muda secara berkelanjutan.
Melalui kolaborasi ini, Bank Jakarta menegaskan komitmennya untuk terus mendukung berbagai inisiatif yang mendorong prestasi, kebanggaan, dan pertumbuhan Kota Jakarta, termasuk di sektor olahraga.
(mrp/raw)",sport,https://sport.detik.com/basket/d-8353921/agar-pelita-jaya-makin-besar-di-jakarta
4,"Center Miami Heat Bam Adebayo mencetak 83 poin saat timnya menumbangkan Washington Wizards 150-129 dalam laga musim reguler NBA musim ini. Ia sukses melewati rekor legenda LA Lakers Kobe Bryant dua dekade silam.
Bertanding di Kaseya Center, Selasa (10/3/2026) malam waktu lokal atau Rabu pagi WIB, 83 poin yang dikemas Adebayo terdiri dari 36 poin lewat 43 free throw serta 20 field goal dari 43 tembakan, tujuh di antaranya berbuah tiga poin.
Capaian ini sungguh di luar dugaan, sebab Adebayo lebih dikenal lewat kualitas bertahannya. Selama kariernya, capaian terbaik dalam satu laga adalah 41 poin, atau setengah dari yang ia toreh melawan Wizards.
83 POINTS FOR BAM ADEBAYO.
THE SECOND-MOST EVER.
Wilt: 100
Bam: 83
Kobe: 81 pic.twitter.com/5AxI6j8m35
Rataan poin Adebayo di musim ini pun 'hanya' 18,9 per laga. Tak heran jika banyak orang memujinya.
""Ini benar-benar malam luar biasa. Jelas, kami diberkati telah menjadi bagian dari banyak momen besar di arena ini. Yang satu ini, terjadi begitu saja. Momen-momen seperti ini memang terjadi, kan? Dan saya bersyukur kita semua bisa menjadi bagian darinya dan menyaksikannya,"" ujar pelatih Heat Erik Spoelstra usai laga, dikutip The Athletic.
Bahkan Adebayo pun tak mengira. ""Aku bahkan tak tahu bagaimana mengungkapkan perasaanku malam ini dengan kata-kata. Aku merasa pusing. Aku bahkan tak tahu harus bereaksi seperti apa,"" ujar pemain 28 tahun bernama lengkap Edrice Femi Adebayo itu.
Adebayo kini berada di urutan kedua pemain dengan torehan poin tertinggi dalam satu laga di NBA, hanya kalah dari Wilt Chamberlain yang mencetak 100 poin pada 2 Maret 1962. Di urutan ketiga ada Kobe dengan 81 poin yang dicetak pada 22 Januari 2006.
Apa yang ditorehkan Adebayo membuat seantero NBA heboh. ""Benarkah ada seorang manusia yang mencetak 83 poin malam ini?"" ujar pelatih Milwaukee Bucks Doc Rivers.
""Wilt, lalu Bam. Keren,"" ujar ujar guard Minnesota Timberwolves Bones Hyland.
Ini menjadi kemenangan keenam Heat secara beruntun di bulan Maret. Mereka ada di urutan enam wilayah timur dengan rekor 37 kemenangan dari 66 laga yang sudah dijalani dan masih berpeluang besok masuk playoff. Sementara itu, hasil ini menjadi kekalahan ke-48 yang ditelan Wizards dalam 64 laga.
Daftar peraih poin tertinggi dalam satu laga di NBA:
| Nomor | Pemain | Poin | Tanggal | Tim | 
|---|---|---|---|---|
| 1. | Wilt Chamberlain | 100 | 1962-03-02 | PHW | 
| 2. | Bam Adebayo | 83 | 2026-03-10 | MIA | 
| 3. | Kobe Bryant | 81 | 2006-01-22 | LAL | 
| 4. | Wilt Chamberlain | 78 | 1961-12-08 | PHW | 
| 5. | Luka Doncic | 73 | 2024-01-26 | DAL | 
| 6. | David Thompson | 73 | 1978-04-09 | DEN | 
| 7. | Wilt Chamberlain | 73 | 1962-11-16 | SFW | 
| 8. | Wilt Chamberlain | 73 | 1962-01-13 | PHW | 
| 9. | Wilt Chamberlain | 72 | 1962-11-03 | SFW | 
| 10. | Damian Lillard | 71 | 2023-02-26 | POR | 
| 11. | Donovan Mitchell | 71 | 2023-01-02 | CLE | 
| 12. | David Robinson | 71 | 1994-04-24 | SAS | 
| 13. | Elgin Baylor | 71 | 1960-11-15 | LAL | 
| 14. | Joel Embiid | 70 | 2024-01-22 | PHI | 
| 15. | Devin Booker | 70 | 2017-03-24 | PHO | 
| 16. | Wilt Chamberlain | 70 | 1963-03-10 | SFW | 
| 17. | Michael Jordan | 69 | 1990-03-28 | CHI | 
| 18. | Pete Maravich | 68 | 1977-02-25 | NOJ | 
| 19. | Wilt Chamberlain | 68 | 1967-12-16 | PHI | 
| 20. | Wilt Chamberlain | 67 | 1963-01-11 | SFW | 
| 21. | Wilt Chamberlain | 67 | 1962-02-25 | PHW |",sport,https://sport.detik.com/basket/d-8395308/heat-tekuk-wizards-adebayo-lewati-rekor-poin-per-laga-kobe-bryant
5,"Campus League 2026 Basketball Jakarta sudah mendapatkan juaranya. Universitas Pelita Harapan juara di sektor putra dan Universitas Bina Nusantara juara sektor putri.
Laga final berlangsung di Basketball Court UPH, Tangerang, Minggu (31/5/2026). Binus dan UPH sama-sama berhasil ke final di sektor putra dan putri.
Tim putra UPH menjadi juara dengan mengalahkan Binus 67-55. Binus menyabet juara di sektor putri setelah mengalahkan UPH 47-37.
""Ini event Campus League yang pertama, kami sudah target gimana caranya jadi juara yang pertama. Karena pasti kan juara di gelaran pertama akan dikenang. Ini juga mimpi anak-anak untuk jadi juara di nasional, semoga kami bisa mencapai target itu,"" kata pelatih tim putri BINUS Jakarta, M. Ridzky Ichwan Pratama.
CEO Campus League, Ryan Gozali, mengaku bersyukur penyelenggaraan Campus League 2026 - Regional Jakarta Season 1 berjalan lancar dengan sportivitas tinggi. Menurutnya, hal itu sejalan dengan visi Campus League untuk menghidupkan ekosistem kompetisi olahraga di tingkat Universitas.
""Tujuan Campus League adalah meningkatkan ekosistem olahraga kampus, untuk membuat ekosistem olahraga di kampus hidup. Kami tidak hanya bicara soal pembinaan atlet, tapi juga pembinaan manusia seutuhnya,"" ucapnya.
Berikut daftar tim yang akan berlaga di Campus League 2026 - Basketball The Nationals Season 1 pada 7 hingga 13 Juni mendatang (juara, runner-up):
Putra
* Regional Surabaya: Universitas Surabaya dan Universitas Cendrawasih
* Regional Yogyakarta: Universitas Kristen Satya Wacana dan Universitas Semarang
* Regional Samarinda: Universitas Mulawarman
* Regional Bandung: Universitas Kristen Maranatha dan Institut Teknologi Harapan Bangsa
* Regional Jakarta: Universitas Pelita Harapan, Universitas Bina Nusantara dan Institut Perbanas
Putri
* Regional Surabaya: Universitas Surabaya dan Universitas Ciputra Makassar
* Regional Yogyakarta: Soegijapranata Catholic University dan Universitas Kristen Satya Wacana
* Regional Samarinda: -
* Regional Bandung: Universitas Kristen Maranatha dan Universitas Katolik Parahyangan
* Regional Jakarta: Universitas Bina Nusantara dan Universitas Pelita Harapan
(ran/nds)",sport,https://sport.detik.com/basket/d-8512605/campus-league-2026-serie-jakarta-tuntas-lanjut-ke-tingkat-nasional
6,"Derrick Michael Xzavierro akan memulai karier profesional di bola basket. Dia telah resmi menjadi pemain Saga Ballooners di kompetisi kasta tertinggi Liga Jepang, B.LEAGUE Premier.
Sebelumnya, pemain basket kelahiran Jakarta, 1 April 2003, ini merupakan student-athlete NCAA Division I bersama Grand Canyon University dan Long Beach State University. Derrick di sana berjuang selama empat tahun.
""Langkah ini menjadi momen penting setelah empat tahun sebagai student-athlete NCAA Division I bersama Grand Canyon University dan Long Beach State University. Setelah menyelesaikan pendidikan sarjana pada Mei 2026, saya siap memasuki babak baru sebagai pemain basket profesional mulai Augustus 2026,"" kata Derrick dalam rilis PERBASI.
""Dengan syukur dan bangga, saya mengumumkan bahwa saya resmi bergabung dengan Saga Ballooners dan akan memulai karier profesional di B.LEAGUE Premier Jepang musim mendatang,"" lanjut pebasket kelahiran 1 April 2003 ini.
Derrick merupakan bagian Timnas Indonesia saat merebut medali emas di SEA Games Vietnam 2021 cabang olahraga basket. Dia juga ada di tim ketika Indonesia membawa medali perunggu di SEA Games 2025 Thailand.
""Saya berterima kasih kepada Saga Ballooners atas kepercayaan ini dan merasa terhormat menjadi bagian dari organisasi yang terus berkembang,"" ujar Derrick yang pada SEA Games 2021 antarkan Indonesia meraih medali emas dari Bola Basket 5x5.
""Saya juga berterima kasih kepada Ibunda saya tercinta, pelatih, rekan setim, serta seluruh penggemar basket Indonesia atas dukungan yang diberikan selama perjalanan saya,"" ungkap Derrick.
Derrick mengucapkan terima kasih kepada petinggi DPP PERBASI yang terus mendukung perjalanannya sebagai pemain basket. Terutama kepada Ketua DPP PERBASI Budisatrio Djiwandono dan Ketua Badan Tim Nasional DPP PERBASI Syailendra Bakrie.
""Apresiasi saya sampaikan kepada Ketua Umum DPP PERBASI Bapak Budi Satrio Djiwandono, Kepala BTN Bapak Syailendra Bakrie, Coach Rifky Antolyon, serta seluruh pelatih, staf, dan rekan di Tim Nasional Indonesia atas kesempatan membela Merah Putih,"" terang Derrick.
""Saya menyadari ini baru permulaan. Saya datang ke Jepang untuk terus berkembang, bersaing di level tertinggi, dan memberikan yang terbaik bagi tim dan negara. Di atas segalanya, saya bersyukur kepada Tuhan Yesus atas penyertaan-Nya dalam setiap langkah perjalanan ini.""
""Terima kasih atas seluruh dukungan. Ini adalah awal dari babak baru yang saya jalani dengan syukur dan semangat untuk terus memberikan yang terbaik,"" pungkas pemain berinisial DMX ini.
(ran/mrp)",sport,https://sport.detik.com/basket/d-8528681/gabung-klub-basket-jepang-derrick-michael-mulai-karier-profesional
7,"Final NBA 2026 menyajikan San Antonio Spurs vs New York Knicks. Jalen Brunson menggila, Knicks menang 1-0 di game pertama.
Final NBA 2026 game pertama berlangsung di Frost Bank Center, Kamis (4/6). San Antonio Spurs vs New York Knicks berjalan sengit!
San Antonio Spurs memimpin di kuarter pertama 27-19. Namun di tiga game setelahnya, New York Knicks unggul terus!
Knicks tutup game pertama dengan kemenangan 105-95. Jalen Brunson jadi pencetak poin terbanyak.
Brunson bermain total 37 menit. Brunson bukukan 30 poin.
Dari kubu Spurs, Victor Wembanyama jadi pencetak poin terbanyak dengan 26 poin. Wembanyama lepas percobaan tembakan tiga poin sembilan kali, tapi cuma dua yang masuk.
Game kedua Final NBA 2026 bakal berlangsung di tempat yang sama, pada Sabtu (6/6) pukul 07.30 WIB. Untuk diketahui, terakhir San Antonio Spurs jadi juara NBA pada 2014, sementara terakhir New York Knicks jadi juaranya pada 1973.
(aff/cas)",sport,https://sport.detik.com/basket/d-8517296/final-nba-2026-brunson-panas-knicks-kalahkan-spurs-di-game-pertama
8,"IBL 2026 akhir pekan ini akan memanas. Sebab finalis musim lalu akan berhadapan, Pelita Jaya vs Dewa United, siapa menang?
Tidak cuma berstatus juara bertahan, Dewa United datang dengan kepercayaan diri tinggi usai performa apik di Basketball Champions League Asia - East 2026. Lag a
Kemenangan di level regional menunjukkan kesiapan mereka untuk bersaing lebih jauh, termasuk menghadapi tim berpengalaman seperti Pelita Jaya.
Momentum ini membuat laga nanti menjadi kesempatan penting untuk melihat sejauh mana konsistensi mereka di kompetisi domestik.
Di sisi lain, Pelita Jaya tetap tampil sebagai tim yang solid dengan pengalaman panjang di dunia basket Indonesia. Kombinasi pemain terbaik dan strategi permainan yang teruji membuat setiap pertandingan mereka selalu menarik untuk disaksikan. Bermain dengan dukungan penonton juga menjadi nilai tambah yang menghadirkan atmosfer berbeda di arena.
Pertemuan kedua tim ini menghadirkan potensi duel yang kompetitif dan penuh aksi. Para penikmat IBL bisa menyaksikan langsung bagaimana strategi, kecepatan permainan, hingga momen krusial terjadi di lapangan dalam satu pertandingan yang penuh tensi.
Menonton langsung di arena memberikan pengalaman yang lebih terasa. Suasana pertandingan, energi dari para pemain, hingga dukungan penonton akan membuat kamu lebih dekat dengan setiap momen di lapangan.
Amankan tiketmu sekarang dan jadilah bagian dari duel seru Dewa United vs Pelita Jaya di IBL GoPay 2026. Rasakan langsung atmosfer pertandingan yang penuh energi hanya di GOR Soemantri Brodjonegoro. Dapatkan tiketnya sekarang di detikevent sebelum kehabisan!
Pelita Jaya vs Dewa United
Tanggal: 5 April 2026
Waktu: 21.00 WIB
Lokasi: GOR Soemantri Brodjonegoro, Kuningan, Jakarta Selatan
(mrp/mrp)",sport,https://sport.detik.com/basket/d-8425722/pelita-jaya-vs-dewa-united-di-ibl-gopay-2026-siapa-menang
9,"Superstar NBA Kyrie Irving dikonfirmasi bakal singgah ke Jakarta pada 30 Juni 2026. Dia bakal menyapa pecinta basket Tanah Air.
Kehadiran pemain berjuluk Uncle Drew ini dipastikan menjadi magnet besar, terlebih Kyrie Irving memiliki skill handle dan shooting khasnya.
Kyrie Irving dibawa oleh salah satu perusahaan perlengkapan olahraga Anta,yang merupakan sponsor pribadi Kyrie.
Pemain yang telah delapan kali tampil NBA All-Star dan juara NBA 2016 ini akan dihadirkan untuk menyapa para pecinta basket melalui acara Kyrie Irving The Return 2026 World Tour.
Selain Jakarta, pebasket berusia 34 tahun itu akan hadir di enam kota lain yaitu Shanghai, Chengdu, Shenzhen, Las Vegas, New Jersey, dan Macau.
Peraih medali emas Olimpiade 2016 Rio de Janeiro ini sekaligus memperkenalkan sepatu yang merupakan signiture-nya, dan terinspirasi dari ibundanya, Elizabeth Irving.
| Baca juga: Sejarah Buruk San Antonio Spurs | 
Salah satu atlet freestyle street basketball Zifora Mei antusias menyambut pemain Dallas Mavericks ini.
""Kalau untuk yang sudah menjalani dan pencinta basket dari lama, pasti kedatangan Irving menjadi kesempatan yang susah didapatkan. Karena biasanya harus keluar negeri dulu, tapi ini didatangi langsung oleh Anta, terima kasih sekali. Perlu datang karena dia sangat menginspirasi,"" kata Zifora saat ditemui di kawasan Tebet, Jakarta Selatan, pada Jumat (26/6/2026).
""Sebenarnya Irving termasuk yang aku nanti-nanti, apalagi dengan nama besarnya. Kalau ketemu Irving pasti inginnya foto tanda tangan, kalau one on one challenge ya bisa lah,"" ujarnya.
Menurut Zifora, Irving merupakan sosok pebasket yang memiliki gaya bermain khas sehingga menjadi inspirasi bagi banyak pebasket muda.
Bukan hanya kemampuan di atas lapangan, Zifora juga mengaku mengagumi sisi pribadi Irving. Ia pun berharapkedatangan Kyrie Irving di Indonesia dapat memberikan hal positif bagi perkembangan basket nasional, terutama anak-anak muda yang tengah menekuni atau baru menyukai cabor tersebut.
""Sebenarnya karena dia sayang mamanya sampai dia bikin signature Elizabeth itu sangat menginspirasi,"" ucapnya.
(mcy/aff)",sport,https://sport.detik.com/basket/d-8548865/bintang-nba-kyrie-irving-bakal-singgah-ke-jakarta
10,"Pelita Jaya Jakarta bertekad main lebih konsisten dalam laga kedua final Indonesian Basketball League (IBL) 2026. Mereka berjanji tak akan mengulangi kesalahan yang sama.
Hal itu dikatakan pemain asing Pelita Jaya Perrin Buford seusai membawa Pelita Jaya merengkuh kemenangan pertama melawan Bogor Hornbills dalam Game 1 Final IBL, di PJ Arena, Jakarta, Jumat (19/6) malam.
Pelita Jaya menang atas Bogor Hornbills dengan skor 90-87, sekaligus unggul sementara 1-0 pada seri Best Of 5.
""Sejujurnya, saya harus berhenti untuk membuang-buang bola. Tetapi pelatih memberikan kesempatan kedua pada saya (di babak overtime), dan kami akhirnya bisa memenangkan pertandingan ini,"" kata Buford dikutip dari laman IBL.
Pelita Jaya memang nyaris kehilangan muka di kandang sendiri. Tim asuhan David Singleton sempat tertinggal sembilan poin di tiga menit terakhir kuarter keempat. Namun, Buford sukses menyelamatkan Pelita Jaya dan menyamakan kedudukan menjadi 76-76 di akhir waktu normal.
Buford tercatat mencetak poin terbanyak dengan memasukkan 11 dari 21 tembakan, dan delapan free throw dari 10 kesempatan. Buford juga mencetak poin untuk menyamakan kedudukan di detik-detik terakhir kuarter keempat. Tak hanya itu saja, pemain berusia 32 tahun tersebut juga menyumbang 11 rebound, sembilan assist, dan satu steal.
Hasil pertandingan pertama menjadi pelajaran penting bagi Pelita Jaya untuk lebih konsisten di Game 2 yang akan berlangsung pada hari Minggu (21/6).
""Untuk Game 2 kami tidak boleh melakukan kesalahan yang sama dan kami berjanji akan lebih baik lagi,"" kata Buford.
(mcy/aff)",sport,https://sport.detik.com/basket/d-8539905/tekad-pelita-jaya-main-lebih-konsisten-di-laga-kedua-final-ibl-2026
